T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
172,0,0,168708.3594,0,118757.3516,0,0
173,0,0,136600.25,0,86649.25,0,0
174,0,0,178847.75,0,128896.75,0,0
175,0,0,217152.1406,0,167201.1406,0,0
176,0,0,237430.9531,0,187479.9531,0,0
177,0,0,255456.5469,0,205505.5469,0,0
178,0,0,273482.1563,0,223531.1406,0,0
179,0,0,276298.6563,0,226347.6406,0,0
180,0,0,276298.6563,0,226347.6406,0,0
181,0,0,271228.9688,0,221277.9531,0,0
182,0,0,264469.3438,0,214518.3594,0,0
183,0,0,288127.9688,0,238176.9531,0,0
184,0,0,226728.25,0,176777.25,0,0
185,0,0,230108.0469,0,180157.0469,0,0
186,0,0,305590.25,0,255639.25,0,0
187,0,0,287564.6563,0,237613.6406,0,0
188,0,0,281931.6563,0,231980.6406,0,0
189,0,0,268975.75,0,219024.75,0,0
190,0,0,226728.25,0,176777.25,0,0
191,0,0,245317.1406,0,195366.1406,0,0
192,0,0,247007.0469,0,197056.0469,0,0
193,0,40,144777.3125,0,94826.70313,0,301.200012
194,0,40,107725.4531,0,57774.85156,91,0
195,0,40,127298.0469,0,77347.45313,27,0
196,0,60.422535,125510.1016,0,75559.70313,0,0
197,0,69.577461,106728.5,0,56778.19531,0,0
198,0,109.577461,108977.9688,0,59028.0625,0,1.200002
199,0,149.577454,176056.3125,0,126106.8047,0,4.200002
200,0,149.577454,246443.75,0,196494.25,0,0
201,40,82.777458,192390.5469,400,142440.375,286,0
202,0,82.777458,214762.75,0,164812.5781,284,0
203,0,82.777458,237994.25,0,188044.0781,0,0
204,0,82.777458,240810.75,0,190860.5781,0,0
205,0,82.777458,203886.4531,0,153936.2813,307,0
206,33.51944,26.799997,161148.8125,335.194366,111198.0859,102.48056,0
207,0,66.799995,140262.5,0,90312.16406,0,29.200003
208,0,66.799995,197840.5469,0,147890.2188,301,0
209,40,0,166581,399.999969,116630,154,0
210,0,0,263625.3438,0,213674.3594,286,0
211,0,40,206812.3438,0,156861.75,0,77.200005
212,0,40,218278.75,0,168328.1563,0,0
213,0,40,204196.25,0,154245.6563,0,0
214,23.952097,0,187810.875,239.520966,137859.875,118.047905,0
215,0,40,130206.4297,0,80255.82813,0,87.200005
216,7.799998,66.974007,97653.5,77.999985,47703.16797,0,0
217,0,106.974007,40074.41016,0,-9875.521484,0,100.200005
218,0,146.973999,15243.34961,0,-34706.17969,0,46.200001
219,0.799998,185.638,9480,7.999983,-40469.14453,0,0
220,0,225.638,8842.689453,0,-41106.05469,0,0.200002
221,29.799997,215.872009,13615.9502,297.999969,-36332.89063,0,0
222,40,177.241028,0,400,-49949.22656,0,0
223,40,138.610046,0,400,-49949.61328,0,0
224,40,99.979065,0,400,-49950,0,0
225,34.354877,66.799995,0,343.548767,-49950.33203,0,0
226,0,66.799995,0,0,-49950.33203,0,0
227,0,66.799995,0,0,-49950.33203,0,0
228,0,66.799995,0,0,-49950.33203,0,0
229,0,66.799995,0,0,-49950.33203,0,0
230,0,66.799995,0,0,-49950.33203,0,0
231,10.242054,49.695766,10000.875,102.420547,-39949.62891,29.757946,0
232,0,49.695766,0,0,-49950.50391,0,0
233,0,80.681686,11249.60059,0,-38700.59375,0,0
234,0,113.07605,12564.25,0,-37385.62109,0,0
235,0,141.245071,20628.90039,0,-29320.6875,0,0
236,0,141.245071,34589.89844,0,-15359.6875,67,0
237,0,141.245071,21770.95117,0,-28178.63672,6,0
238,40,74.445076,9490.75,400,-40459.50391,4,0
239,0,108.247894,20907.5,0,-29042.41797,0,0
240,0,108.247894,34940.20313,0,-15009.71582,25,0
241,0,133.600006,19037,0,-30912.66406,0,0
242,40,66.800011,15822.7002,400,-34127.63281,12,0
243,0.000007,66.799995,19965.59961,0.000074,-29984.73242,83.999992,0
244,40,0,21335,399.999969,-28616,64,0
245,0,0,30935.95117,0,-19015.04883,129,0
246,0,40,28657.34961,0,-21293.25,0,58.200001
247,0,40,20192.34961,0,-29758.25,63,0
248,0,40,35654,0,-14296.60156,134,0
249,0,80,22470.43945,0,-27479.75977,0,28.200003
250,0,120,20383.64063,0,-29566.16016,0,48.200001
251,40,53.200001,27411.5,400,-22538.96875,77,0
252,30,3.100002,21933.80078,300,-28017.16797,0,0
253,0,3.100002,23309.5,0,-26641.46875,75,0
254,0,43.100002,14612.36035,0,-35338.21094,0,26.200003
255,25.808386,0,35006.23438,258.083862,-14944.76465,47.191616,0
256,0,28.169016,29264,0,-20686.71875,0,0
