rolling_average,triangular,weibull
76.33919749584518,62.599030647729556,97.9
73.0853229841677,39.280425933254705,67.8
74.89137898941269,81.85032446238117,47.7
76.61500974302862,82.42910143458622,52.6
77.54876527130905,83.68447905017837,31.8
77.59433282601867,94.60049751702297,93.7
74.37821673719974,71.9667604371351,72.4
67.84763069307421,89.57130209550633,31.5
73.70775866603871,69.6103754617138,103.6
75.64315241804395,26.392658154216132,66.2
68.58433914408434,116.1333933801815,77.2
72.2946498102963,88.53590715815443,75.9
71.76364579002812,66.67223367230693,60.1
74.92221980224912,99.9311562760033,89.5
69.48667225235168,79.89133546186162,85.0
66.50485517141104,64.01328707005148,97.0
107.26405092213555,143.21713875728665,126.9
131.9464778830088,135.80812712663848,125.8
137.18187218628756,142.62011834161592,135.5
136.50135234208665,148.10243010489125,132.5
145.76511986624055,147.1165941894336,123.5
139.21568499536562,148.13631222978358,141.5
142.13131056314091,144.2058507869064,136.0
138.22764737407152,132.95425279582864,130.3
135.25208953983514,145.82711475503973,122.2
138.76429805295695,136.44167321182394,123.6
134.7744747439927,139.66635126468515,120.1
132.82424793439566,124.35765513026068,135.6
144.6033141351607,135.39414197291327,131.9
138.84659870929158,140.9998962638471,139.8
134.5068924857929,136.07481913210648,146.8
138.59937672768228,138.7955039140598,131.4
144.54583513684523,129.0931654863404,128.9
136.90142987194434,134.6781585575538,120.0
135.0426247893651,136.88970253371878,123.5
135.94656038468037,141.35621453378948,124.7
136.47954713849745,141.8464138383837,145.1
132.1153592126004,146.64168968025763,123.9
129.9518570407509,135.12432539971715,132.4
132.93547000770218,143.07419232670364,140.0
129.43176760200726,123.13543082174814,93.4
117.67324767467969,118.17933101849442,111.6
116.81938862107839,114.39545422054005,131.2
119.174958675471,125.15804015312276,107.6
113.25881829214467,108.37259764644683,130.1
115.91235551972377,137.27542810688126,129.5
118.93298410425493,134.12141945770452,100.2
115.88750307848049,113.24637423840912,104.6
111.06831363132292,116.0498253323662,102.7
110.04172668956397,141.62680143313239,99.6
117.41283547611765,126.71742161643655,96.5
115.66527656263162,102.20888289752342,96.7
112.41489226794468,104.9322512177531,121.7
116.69443647352404,142.47692345777696,117.4
113.27621678334788,139.60518533338401,110.7
111.29250712175357,98.96274713760322,133.6
108.62437548850488,116.20867603794218,131.9
111.13852513173114,132.37612270932107,115.3
115.65994058039615,107.79578027386187,109.6
116.78476528320427,100.49820690757576,123.0
112.05316440382981,116.83474053866547,139.8
117.00449009568774,129.99927084374502,111.6
114.24082740241045,123.48008333919722,121.3
124.34518962305805,109.96503639967744,104.5
78.22543169457495,59.55509817298121,76.1
59.566955082583014,35.580100225081175,62.1
46.53033436919159,47.1119756433019,52.6
45.569250177742774,26.34121954473031,48.3
43.02884229284243,47.47608580777826,67.7
40.38316969812091,55.29601006835535,62.0
40.4831596334149,35.129923786973706,68.1
36.71744737727819,15.295875487927848,59.4
40.611230082317576,54.861075818242725,69.3
37.64196187016698,31.101339329600968,66.1
38.78949780536341,34.10866631668081,49.7
36.330683526606705,30.715916937477395,55.2
37.835936757150805,67.59944083314711,62.7
42.40093960685627,17.343549334218856,46.2
38.67463978884999,31.780581696858025,37.9
37.504191309041616,43.73954900125027,60.3
40.324729603111905,45.70361245141764,50.6
40.08992064428563,68.2340539687775,35.5
39.91822133554734,62.237319619019544,15.2
42.038711825583775,19.671392894221974,60.6
37.21580789644267,44.13574263409426,50.7
38.645254213703154,13.118370962838581,36.9
41.80597031484437,26.90482110509777,59.9
40.33167185505196,55.669205879487535,76.0
57.376272905843464,56.213697751716644,78.5
68.3135679548599,62.75526872087702,51.9
69.59548020779218,67.17341484050581,64.8
67.28790433033936,66.04060614012614,58.2
73.77594973891651,60.39875359270312,86.1
69.14057913291984,68.886944176109,63.6
67.49289735900416,81.54287470822736,62.2
68.9386701041824,67.78374415038407,83.3
70.63276331088086,65.85478460879445,52.8
72.9004197590168,82.02942001088971,78.3
70.22015107841918,79.24136921650064,58.6
73.56020397475328,69.28565322168491,79.8
73.99196304656587,66.47000664803903,74.7
69.68913030708447,68.95363515162316,51.5
73.85849680205766,80.47593661034459,70.7
72.73672685483648,69.85832970658555,54.3
73.12421507467376,73.75203924351783,82.1
